Timestamp,RSDN(1),RSUP(1),RLDN(1),RLUP(1),RNET(1),PAR(1),PAR(2),PAR(3),WS(1),WS(2),WD(1),WD(2),T_AIR(1),T_AIR(2),T_AIR(3),RH(1),Press(1),PPT(1),G(1),G(2),T_SOIL(1),T_SOIL(2),T_SOIL(3),T_SOIL(4),T_SOIL(5),T_SOIL(6),SWC(1),SWC(2),SWC(3),SWC(4),water_depth(1),NEE_MPTm,RE_MPTm,GPP_MPTm,LE,H,ustar,Fch4
2019/1/1 0:00,0,0,190.79,249.96,-59.18,0,0,,0.12,0.44,222.54,231.7,-12.64,-15.71,-16.45,69.9,1010.12,0,-10.52,-19.34,-14.62,-8.51,-3.84,-11.97,-7.24,-3.99,0.05,0.08,0.07,0.07,0.74,0.04,0.04,0,-0.39,-10.61,0.08,-0.31
2019/1/1 0:30,0,0,190.78,249.43,-58.65,0,0,,0.44,0.45,270.68,267.8,-12.64,-15.91,-16.54,71.7,1009.88,0,-10.84,-20.02,-16.04,-8.7,-3.93,-13.32,-7.45,-4.08,0.05,0.08,0.07,0.07,0.72,0.04,0.04,0,-0.39,-10.61,0.06,-0.31
2019/1/1 1:00,0,0,190.16,250.56,-60.4,0,0,,1.58,1.38,359.37,6.72,-12.98,-15.6,-16.12,69.17,1009.69,0,-11.16,-20.68,-16.53,-8.79,-4.04,-14.58,-7.59,-4.16,0.05,0.08,0.07,0.06,0.72,0.04,0.04,0,-0.27,-9.61,0.11,-0.32
2019/1/1 1:30,0,0,189.78,249.16,-59.39,0,0,,1.57,1.52,330.66,325.3,-13.54,-15.94,-16.52,73.1,1009.63,0,-11.46,-21.27,-16.63,-8.93,-4.15,-14.49,-7.72,-4.24,0.05,0.08,0.07,0.06,0.71,0.04,0.04,0,-0.27,-9.62,0.15,-0.34
2019/1/1 2:00,0,0,189.02,248.15,-59.13,0,0,,0.45,0.55,82.48,93.1,-13.74,-16.11,-16.8,74.01,1009.69,0,-11.74,-21.79,-17.95,-9.08,-4.25,-15.1,-7.89,-4.33,0.05,0.08,0.07,0.06,0.71,0.04,0.04,0,-0.26,-9.33,0.07,-0.34
2019/1/1 2:30,0,0,187.56,246.36,-58.8,0,0,,1.28,1.12,346.27,351.4,-13.91,-16.53,-17.18,73.87,1009.59,0,-11.98,-22.26,-18.02,-9.16,-4.35,-14.78,-8.03,-4.41,0.05,0.08,0.07,0.06,0.7,0.04,0.04,0,-0.26,-9.1,0.08,-0.34
2019/1/1 3:00,0,0,188.36,246.49,-58.13,0,0,,1.26,1.15,0.59,7.91,-14.62,-16.46,-17.15,74.52,1009.74,0,-12.2,-22.72,-18.03,-9.31,-4.45,-15.75,-8.18,-4.48,0.05,0.08,0.06,0.06,0.7,0.04,0.04,0,-0.21,-7.05,0.12,-0.36
2019/1/1 3:30,0,0,198.43,247.81,-49.38,0,0,,0.57,0.48,12.17,22.81,-14.72,-16,-16.68,76.31,1009.66,0,-12.41,-23.17,-19.52,-9.38,-4.56,-16.49,-8.29,-4.55,0.05,0.08,0.06,0.06,0.7,0.04,0.04,0,-0.21,-7.05,0.08,-0.36
2019/1/1 4:00,0,0,189.09,247.18,-58.09,0,0,,1.62,1.42,349.94,352.6,-15.08,-16.22,-16.88,75.67,1009.41,0,-12.62,-23.54,-19.46,-9.34,-4.64,-17.01,-8.34,-4.63,0.05,0.08,0.06,0.06,0.7,0.04,0.04,0,-0.24,-19.68,0.13,-0.36
2019/1/1 4:30,0,0,190.91,247.03,-56.12,0,0,,1.98,1.81,332.05,329.6,-14.87,-16.31,-16.87,75.45,1009.09,0,-12.78,-23.81,-19.08,-9.48,-4.75,-16.95,-8.45,-4.71,0.05,0.08,0.06,0.06,0.69,0.04,0.04,0,-0.21,-8.87,0.18,-0.36
