Year,DOY,TIME,Rg,Rg_out,Rgl,Rgl_out,LE_spec,NEE,Rec,GPP
2018,1,30,0,0.148,290.47,296.63,-0.45023776,0.587,0.587,0
2018,1,100,0,0.003,291.59,296.05,-0.1383445,0.5808,0.5808,0
2018,1,130,0,0,293.93,295.58,0.035898926,0.5777,0.5777,0
2018,1,200,0.003,0.022,290.91,294.58,-6.4003464,3.455,3.455,0
2018,1,230,0,0.287,269.35,292.48,0.43022196,0.5666,0.5666,0
2018,1,300,0,0.513,276.41,292.97,-1.442315,0.567,0.567,0
2018,1,330,0,0.569,275.41,292.74,-0.44105404,0.5693,0.5693,0
2018,1,400,0,0.169,279.36,291.96,0.22335278,0.5652,0.5652,0
2018,1,430,0,0.7,248.12,289.13,-1.8202604,0.557,0.557,0
2018,1,500,0,0.822,260.54,289.16,-1.2327378,0.5545,0.5545,0
2018,1,530,0,0.443,265.27,289.26,-1.265705,0.553,0.553,0
2018,1,600,0,0.541,270.82,289.23,0.31059812,1.198,1.198,0
2018,1,630,0,0.758,276.1,289.49,1.3728484,0.5511,0.5511,0
2018,1,700,0.203,0.413,280.62,289.42,0.75989396,0.5508,0.5508,0
2018,1,730,6.908,2.375,277.95,289.15,-0.7411733,0.5203,0.5481464,0.0278464
2018,1,800,32.688,9.718,264.92,288.49,-0.89906264,0.2651,0.5459424,0.2808424
2018,1,830,56.532,16.591,279.41,289.95,-0.92213968,0.0658,0.5449216,0.4791216
2018,1,900,101.065,27.902,261.97,289.78,1.4411376,0.6199,0.5458032,-0.0740968
2018,1,930,104.073,29.406,284.07,292.51,-2.2335278,0.6824,0.5505592,-0.1318408
2018,1,1000,158.209,42.787,280.94,293.93,3.7417772,0.2024,0.5542944,0.3518944
2018,1,1030,110.374,31.555,285.2,293.82,3.1989958,0.08021,0.5573104,0.4771004
2018,1,1100,126.485,34.436,283.69,294.03,-3.1978184,0.2277,0.5561272,0.3284272
2018,1,1130,130.753,39.113,287.58,294.32,5.6715358,0.3496,0.5573336,0.2077336
2018,1,1200,163.836,49.078,292.89,295.58,5.2170594,0.2263,0.5619736,0.3356736
2018,1,1230,207.052,58.175,298.05,296.78,6.0671422,0.7402,0.564572,-0.175628
2018,1,1300,276.728,77.014,299.19,299.61,2.3924768,0.511,0.578144,0.067144
2018,1,1330,159.859,44.066,297.38,298.29,16.566018,0.6669,0.5785152,-0.0883848
2018,1,1400,74.154,20.648,293.95,296.25,11.856418,1.011,0.572576,-0.438424
2018,1,1430,248.364,73.238,291.37,299.06,-5.9894338,0.6894,0.5778424,-0.1115576
2018,1,1500,146.756,40.41,286.92,297.09,16.495374,0.7893,0.5774248,-0.2118752
2018,1,1530,113.024,38.137,280.29,295.1,21.322714,1.061,0.5683304,-0.4926696
2018,1,1600,174.683,63.42,270.92,295.8,-20.922398,0.8837,0.5781208,-0.3055792
2018,1,1630,34.079,9.546,282.7,292.53,-3.2166568,0.3707,0.557148,0.186448
2018,1,1700,6.659,2.564,262.88,289.83,-3.5298452,0.5501,0.5501,0
2018,1,1730,0.004,0.175,285.13,290.19,-0.223706,0.5468,0.5468,0
2018,1,1800,0,0.001,288.49,289.72,-0.72692676,0.5439,0.5439,0
2018,1,1830,0,0.007,288.26,289.45,1.00997372,0.5431,0.5431,0
2018,1,1900,0,0.007,285.61,289.08,-15.647646,0.1392,0.1392,0
2018,1,1930,0,0.017,280.76,287.95,-2.4631208,0.5376136,0.5376136,0
2018,1,2000,0,0.029,280.55,287.22,4.468233,0.5341,0.5341,0
2018,1,2030,0,0.043,280.09,286.38,0.28116312,0.3946,0.3946,0
2018,1,2100,0,0.056,277.79,285.52,1.06048418,0.1733,0.1733,0
